TableName,TableType,Tier,Plan,Retention,Status,LastIngestion,TotalGB,EstCostUSD
AppTraces,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,108.3689,299.0982
SecurityEvent,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,89.2817,246.4175
BehaviorAnalytics,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,16.7646,46.2703
AzureDiagnostics,CustomLog,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,11.2017,30.9167
AppExceptions,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,8.8741,24.4925
ThreatIntelIndicators,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,7.6887,21.2208
DeviceProcessEvents,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,7.5427,20.8179
desktopcentral_SRCH,SearchResults,HOT,Analytics,90,HAS DATA,02-09-2026 13:00,6.1473,16.9665
DeviceEvents,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,5.5354,15.2777
SentinelHealth,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,4.2296,11.6737
DefectDojoFindings_CL,CustomLog,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,4.1915,11.5685
AppMetrics,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,3.8718,10.6862
CloudAppEvents,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,3.2526,8.9772
SecurityRecommendation,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 04:00,2.1393,5.9045
Event,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,1.8715,5.1653
Forcepointdlp_CL,CustomLog,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,1.7266,4.7654
SigninLogs,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,1.6746,4.6219
AppRequests,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,1.2867,3.5513
DeviceNetworkEvents,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,1.2731,3.5138
AzureActivity,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.7949,2.1939
AzureMetrics,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.6279,1.733
Heartbeat,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.5503,1.5188
SecurityAttackPathData,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 05:00,0.4967,1.3709
OfficeActivity,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.4594,1.2679
AppPerformanceCounters,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.399,1.1012
Watchlist,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.2954,0.8153
AuditLogs,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.2357,0.6505
LAQueryLogs,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.231,0.6376
DeviceNetworkInfo,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.2066,0.5702
EmailUrlInfo,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.1866,0.515
AlertEvidence,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.1642,0.4532
SecurityIncident,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.1587,0.438
EmailEvents,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.1252,0.3456
AADManagedIdentitySignInLogs,Microsoft,HOT,Analytics,60,HAS DATA,03-02-2026 06:00,0.121,0.334
DeviceInfo,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.1108,0.3058
SecurityNestedRecommendation,Microsoft,HOT,Analytics,90,HAS DATA,2/25/2026 4:00:00 PM,0.1088,0.3003
UserPeerAnalytics,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 02:00,0.0925,0.2553
SecurityAlert,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.0795,0.2194
EasmAssetWebComponent_CL,CustomLog,HOT,Analytics,90,HAS DATA,03-01-2026 21:00,0.0723,0.1995
EmailAttachmentInfo,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.067,0.1849
SecurityRegulatoryCompliance,Microsoft,HOT,Analytics,90,HAS DATA,03-01-2026 09:00,0.0599,0.1653
SecurityBaseline,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 01:00,0.0459,0.1267
IdentityLogonEvents,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.0394,0.1087
EasmHostAsset_CL,CustomLog,HOT,Analytics,90,HAS DATA,03-01-2026 21:00,0.0276,0.0762
EasmPageAsset_CL,CustomLog,HOT,Analytics,90,HAS DATA,03-01-2026 21:00,0.0241,0.0665
Syslog,Microsoft,HOT,Analytics,90,HAS DATA,1/28/2026 5:00:00 PM,0.022,0.0607
Update,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 04:00,0.0193,0.0533
AADProvisioningLogs,Microsoft,HOT,Analytics,90,HAS DATA,03-01-2026 12:00,0.0169,0.0466
SecureScoreControls,Microsoft,HOT,Analytics,90,HAS DATA,2/28/2026 10:00:00 PM,0.0093,0.0257
EasmAssetBanner_CL,CustomLog,HOT,Analytics,90,HAS DATA,03-01-2026 21:00,0.0083,0.0229
ProtectionStatus,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.0072,0.0199
IdentityInfo,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.0067,0.0185
AlertInfo,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.006,0.0166
IntuneDevices,Microsoft,HOT,Analytics,90,HAS DATA,03-01-2026 12:00,0.0051,0.0141
EasmAsset_CL,CustomLog,HOT,Analytics,90,HAS DATA,03-01-2026 21:00,0.005,0.0138
EasmIpAddressAsset_CL,CustomLog,HOT,Analytics,90,HAS DATA,03-01-2026 21:00,0.0046,0.0127
IntuneAuditLogs,Microsoft,HOT,Analytics,90,HAS DATA,2/26/2026 12:00:00 PM,0.0036,0.0099
IntuneDeviceComplianceOrg,Microsoft,HOT,Analytics,90,HAS DATA,03-01-2026 12:00,0.0033,0.0091
Operation,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.0025,0.0069
Anomalies,Microsoft,HOT,Analytics,90,HAS DATA,03-01-2026 07:00,0.0018,0.005
MicrosoftPurviewInformationProtection,Microsoft,HOT,Analytics,90,HAS DATA,2/27/2026 8:00:00 AM,0.0015,0.0041
EasmRisk_CL,CustomLog,HOT,Analytics,90,HAS DATA,03-01-2026 21:00,0.0014,0.0039
EasmDomainAsset_CL,CustomLog,HOT,Analytics,90,HAS DATA,03-01-2026 21:00,0.0013,0.0036
UpdateSummary,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 04:00,0.0011,0.003
EasmSslCertAsset_CL,CustomLog,HOT,Analytics,90,HAS DATA,03-01-2026 21:00,0.0007,0.0019
PowerPlatformAdminActivity,Microsoft,HOT,Analytics,90,HAS DATA,03-01-2026 09:00,0.0006,0.0017
SqlAtpStatus,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.0006,0.0017
virustotal_CL,CustomLog,HOT,Analytics,90,HAS DATA,12-08-2025 17:00,0.0005,0.0014
SecurityBaselineSummary,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 01:00,0.0002,0.0006
SqlVulnerabilityAssessmentScanStatus,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 01:00,0.0001,0.0003
EasmContactAsset_CL,CustomLog,HOT,Analytics,90,HAS DATA,03-01-2026 21:00,0.0001,0.0003
SecureScores,Microsoft,HOT,Analytics,90,HAS DATA,2/28/2026 2:00:00 PM,0.0001,0.0003
PowerBIActivity,Microsoft,HOT,Analytics,90,HAS DATA,03-01-2026 13:00,0.0001,0.0003
Workvivo_CL,CustomLog,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.0001,0.0003
IntuneOperationalLogs,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 04:00,0.0001,0.0003
abuseip_CL,CustomLog,HOT,Analytics,90,HAS DATA,12/13/2025 1:00:00 AM,0.0001,0.0003
SentinelAudit,Microsoft,HOT,Analytics,90,HAS DATA,03-01-2026 15:00,0.0001,0.0003
ThreatIntelObjects,Microsoft,HOT,Analytics,90,HAS DATA,2/23/2026 7:00:00 PM,0.0001,0.0003
AADUserRiskEvents,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0.0001,0.0003
ADFActivityRun,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
OracleCloudDatabase,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DeviceCustomImageLoadEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AirflowDagProcessingLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ADFAirflowSchedulerLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ADFAirflowTaskLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ADFAirflowWebLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ADFAirflowWorkerLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
WorkloadDiagnosticLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
SynapseLinkEvent,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
SynapseIntegrationTriggerRuns,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
SQLSecurityAuditEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
SynapseScopePoolScopeJobsEnded,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
SynapseScopePoolScopeJobsStateChange,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
UCDOStatus,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
UCDOAggregatedStatus,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppServiceConsoleLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ATCPrivatePeeringMetadata,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AutoscaleEvaluationsLog,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
FunctionAppLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AACHttpRequest,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppServiceEnvironmentPlatformLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PerfInsightsImpactedResources,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppPageViews,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PerfInsightsFindings,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PerfInsightsRun,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppSystemEvents,Microsoft,HOT,Analytics,90,HAS DATA,02-02-2026 04:00,0,0
WVDCheckpoints,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AADDomainServicesSystemSecurity,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DataSetOutput,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DatabricksTables,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DataSetRuns,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ACSEmailUserEngagementOperational,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NWConnectionMonitorTestResult,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NWConnectionMonitorPathResult,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NWConnectionMonitorDNSResult,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AADDomainServicesAccountLogon,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MicrosoftHealthcareApisAuditLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
InsightsMetrics,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AADGraphActivityLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
LIATrackingEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DeviceCustomFileEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DeviceCustomNetworkEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AADServicePrincipalRiskEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CDBPartitionKeyRUConsumption,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AADRiskyUsers,Microsoft,HOT,Analytics,90,HAS DATA,03-02-2026 06:00,0,0
CDBQueryRuntimeStatistics,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CDBMongoRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CDBCassandraRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CDBGremlinRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CDBTableApiRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CDBControlPlaneRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
EGNSuccessfulHttpDataPlaneOperations,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
EGNFailedHttpDataPlaneOperations,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ADFSSignInLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AegDataPlaneRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NCCIDRACLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PurviewDataSensitivityLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ATCExpressRouteCircuitIpfix,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AADServicePrincipalSignInLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AADCustomSecurityAttributeAuditLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MicrosoftServicePrincipalSignInLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AADRiskyServicePrincipals,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MySqlAuditLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MySqlSlowLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PGSQLPgStatActivitySessions,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DeviceCustomScriptEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AKSControlPlane,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NSPAccessLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
LAJobLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DeviceCustomProcessEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DSMDataClassificationLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ACREntraAuthenticationAuditLog,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DSMDataLabelingLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MPCIngestionLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ATCMicrosoftPeeringMetadata,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
OGOAuditLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AGCFirewallLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CDBDataPlaneRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CDBPartitionKeyStatistics,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PGSQLPgBouncer,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PGSQLServerLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PGSQLAutovacuumStats,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PGSQLQueryStoreWaits,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PGSQLQueryStoreRuntime,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
PGSQLDbTransactionsStats,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AGCAccessLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
HuntingBookmarks,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppBrowserTimings,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AZMSArchiveLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AZMSAutoscaleLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AZMSKafkaCoordinatorLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AZMSKafkaUserErrorLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AZMSCustomerManagedKeyUserLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AHDSMedTechDiagnosticLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AHDSDicomDiagnosticLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AHDSDicomAuditLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AZKVAuditLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AZKVPolicyEvaluationDetailsLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AZMSVnetConnectionEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MNFDeviceUpdates,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MNFSystemSessionHistoryUpdates,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ASRv2JobEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ASRv2HealthEvents,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ASRv2ReplicationVaults,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ASRv2ReplicationPolicies,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ASRv2ReplicationExtensions,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ASRv2ProtectedItems,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
VCoreMongoRequests,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NCMClusterOperationsLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NCCKubernetesLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MNFSystemStateMessageUpdates,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
EGNFailedMqttSubscriptions,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
EGNFailedMqttPublishedMessages,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
EGNMqttDisconnections,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ACSCallDiagnosticsUpdates,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ACSCallSummary,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ACSCallSummaryUpdates,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ContainerAppConsoleLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppEnvSpringAppConsoleLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppEnvSessionConsoleLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppEnvSessionPoolEventLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AppEnvSessionLifecycleLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DevCenterDiagnosticLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DevCenterResourceOperationLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
MicrosoftGraphActivityLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
APIMDevPortalAuditDiagnosticLog,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ApiManagementGatewayLlmLog,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ArcK8sAudit,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ArcK8sAuditAdmin,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
ArcK8sControlPlane,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
TOUserAudits,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
TOUserDiagnostics,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
CloudHsmServiceOperationAuditLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DataTransferOperations,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
DNSQueryLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
EGNSuccessfulMqttConnections,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
EGNFailedMqttConnections,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NCCPlatformOperationsLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NCCVMOrchestrationLogs,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NCSStorageAudits,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
NCSStorageAlerts,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
AMSMediaAccountHealth,Microsoft,HOT,Analytics,90,NO INGESTION,No Ingestion,0,0
